id,realtime_start,realtime_end,name,link,notes
1,2024-06-17,2024-06-17,Board of Governors of the Federal Reserve System (US),http://www.federalreserve.gov/,
3,2024-06-17,2024-06-17,Federal Reserve Bank of Philadelphia,https://www.philadelphiafed.org/,
4,2024-06-17,2024-06-17,Federal Reserve Bank of St. Louis,http://www.stlouisfed.org/,
6,2024-06-17,2024-06-17,Federal Financial Institutions Examination Council (US),http://www.ffiec.gov/,
11,2024-06-17,2024-06-17,Dow Jones & Company,http://www.dowjones.com,
14,2024-06-17,2024-06-17,University of Michigan,https://www.umich.edu/,
15,2024-06-17,2024-06-17,Council of Economic Advisers (US),https://www.whitehouse.gov/cea/,
16,2024-06-17,2024-06-17,U.S. Office of Management and Budget,https://www.whitehouse.gov/omb/,
17,2024-06-17,2024-06-17,U.S. Congressional Budget Office,http://www.cbo.gov/,
18,2024-06-17,2024-06-17,U.S. Bureau of Economic Analysis,http://www.bea.gov/,
19,2024-06-17,2024-06-17,U.S. Census Bureau,http://www.census.gov/,
21,2024-06-17,2024-06-17,U.S. Department of Housing and Urban Development,http://www.hud.gov/,
22,2024-06-17,2024-06-17,U.S. Bureau of Labor Statistics,https://www.bls.gov/,
23,2024-06-17,2024-06-17,U.S. Department of the Treasury. Fiscal Service,https://fiscaldata.treasury.gov/,
26,2024-06-17,2024-06-17,Haver Analytics,http://www.haver.com/,
31,2024-06-17,2024-06-17,Reserve Bank of Australia,http://www.rba.gov.au/,
32,2024-06-17,2024-06-17,Deutsche Bundesbank,http://www.bundesbank.de,
33,2024-06-17,2024-06-17,Bank of Italy,http://www.bancaditalia.it/homepage/index.html?com.dotmarketing.htmlpage.language=1,Banca d'Italia
34,2024-06-17,2024-06-17,Swiss National Bank,http://www.snb.ch/,
35,2024-06-17,2024-06-17,Central Bank of the Republic of Turkey,http://www.tcmb.gov.tr/,Türkiye Cumhuriyet Merkez Bankası
36,2024-06-17,2024-06-17,U.S. Federal Housing Finance Agency,http://www.fhfa.gov/,
37,2024-06-17,2024-06-17,Bank of Japan,,
38,2024-06-17,2024-06-17,Bank of Mexico,http://www.banxico.org.mx/,Banco de México
41,2024-06-17,2024-06-17,Freddie Mac,http://www.freddiemac.com/index.html,
42,2024-06-17,2024-06-17,"Automatic Data Processing, Inc.",http://www.adp.com/,
46,2024-06-17,2024-06-17,Federal Reserve Bank of Kansas City,https://www.kansascityfed.org/,
47,2024-06-17,2024-06-17,Chicago Board Options Exchange,http://www.cboe.com/,
48,2024-06-17,2024-06-17,Organization for Economic Co-operation and Development,http://www.oecd.org/,
50,2024-06-17,2024-06-17,U.S. Employment and Training Administration,http://www.doleta.gov,
53,2024-06-17,2024-06-17,U.S. Energy Information Administration,http://www.eia.gov/,
54,2024-06-17,2024-06-17,Federal Reserve Bank of Chicago,http://www.chicagofed.org,
55,2024-06-17,2024-06-17,National Bureau of Economic Research,http://www.nber.org/,
57,2024-06-17,2024-06-17,World Bank,http://www.worldbank.org/,
59,2024-06-17,2024-06-17,National Association of Realtors,http://www.realtor.org,
60,2024-06-17,2024-06-17,International Monetary Fund,https://www.imf.org/external/index.htm,"The International Monetary Fund (IMF) is an organization of 187 countries, working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world."
61,2024-06-17,2024-06-17,Eurostat,http://ec.europa.eu/eurostat/about/overview,
63,2024-06-17,2024-06-17,U.S. Federal Highway Administration,http://www.fhwa.dot.gov/,
66,2024-06-17,2024-06-17,University of Pennsylvania,http://www.upenn.edu/,
67,2024-06-17,2024-06-17,CredAbility Nonprofit Credit Counseling & Education,http://www.credability.org/en/homepage.aspx,
68,2024-06-17,2024-06-17,"Piger, Jeremy Max",http://pages.uoregon.edu/jpiger/us_recession_probs.htm,
69,2024-06-17,2024-06-17,Federal Deposit Insurance Corporation,http://www.fdic.gov/,
70,2024-06-17,2024-06-17,"Weber, Warren E.",,
71,2024-06-17,2024-06-17,"Dwyer, Gerald P.",,
72,2024-06-17,2024-06-17,"Hafer, R.W.",,
74,2024-06-17,2024-06-17,GB. Office for National Statistics,http://www.ons.gov.uk/ons/index.html,
75,2024-06-17,2024-06-17,JP. Cabinet Office,http://www.cao.go.jp/index-e.html,JP. Naikakufu
76,2024-06-17,2024-06-17,Bank of England,http://www.bankofengland.co.uk/Pages/home.aspx,
77,2024-06-17,2024-06-17,European Central Bank,https://www.ecb.europa.eu/home/html/index.en.html,
78,2024-06-17,2024-06-17,University of Louisville. Logistics and Distribution Institute,http://louisville.edu/lodi,
80,2024-06-17,2024-06-17,"Baker, Scott R.",,
81,2024-06-17,2024-06-17,"Cass Information Systems, Inc.",http://www.cassinfo.com/,
82,2024-06-17,2024-06-17,"Anderson, Richard G.",http://research.stlouisfed.org/econ/anderson/,
84,2024-06-17,2024-06-17,University of Groningen,http://www.rug.nl/,
85,2024-06-17,2024-06-17,S&P Dow Jones Indices LLC,https://us.spindices.com/,
86,2024-06-17,2024-06-17,Nikkei Industry Research Institute,http://indexes.nikkei.co.jp/en/nkave/index/profile?idx=nk225,
88,2024-06-17,2024-06-17,"DiCecio, Riccardo",http://research.stlouisfed.org/econ/dicecio/,
89,2024-06-17,2024-06-17,Federal Reserve Bank of Dallas,http://www.dallasfed.org/,
90,2024-06-17,2024-06-17,Federal Reserve Bank of Cleveland,http://www.clevelandfed.org/,
91,2024-06-17,2024-06-17,Federal Reserve Bank of Atlanta,http://www.frbatlanta.org/,
92,2024-06-17,2024-06-17,Federal Reserve Bank of San Francisco,http://www.frbsf.org/,
93,2024-06-17,2024-06-17,Bank for International Settlements,https://www.bis.org/index.htm,
94,2024-06-17,2024-06-17,"University of California, Davis",http://www.ucdavis.edu/,
96,2024-06-17,2024-06-17,Federal Reserve Bank of New York,http://www.newyorkfed.org/,
97,2024-06-17,2024-06-17,NASDAQ OMX Group,https://www.nasdaq.com/,
98,2024-06-17,2024-06-17,U.S. Federal Open Market Committee,,
99,2024-06-17,2024-06-17,Equifax,http://www.equifax.com/home/en_us,
101,2024-06-17,2024-06-17,U.S. Bureau of Transportation Statistics,https://www.bts.gov/,
102,2024-06-17,2024-06-17,"Chauvet, Marcelle",,
103,2024-06-17,2024-06-17,"Jones, Barry E.",,
104,2024-06-17,2024-06-17,"Bloom, Nick",,
105,2024-06-17,2024-06-17,"Davis, Stephen J.",,
106,2024-06-17,2024-06-17,Oklahoma State University,http://go.okstate.edu/,
114,2024-06-17,2024-06-17,U.S. Department of Labor,http://www.dol.gov,
115,2024-06-17,2024-06-17,Federal Reserve Bank of Richmond,https://www.richmondfed.org/,
116,2024-06-17,2024-06-17,"Hamilton, James",http://econbrowser.com/recession-index,
122,2024-06-17,2024-06-17,U.S. Department of the Treasury. Internal Revenue Service,https://www.irs.gov/,
123,2024-06-17,2024-06-17,U.S. Department of the Treasury,https://www.treasury.gov,
126,2024-06-17,2024-06-17,Federal Bureau of Investigation,https://ucr.fbi.gov/,
128,2024-06-17,2024-06-17,Dartmouth Atlas of Healthcare,http://www.dartmouthatlas.org/,The Dartmouth Atlas of Health Care is based at The Dartmouth Institute for Health Policy and Clinical Practice.
129,2024-06-17,2024-06-17,Moody’s,https://www.moodys.com/,
133,2024-06-17,2024-06-17,"DHI Group, Inc.",,
135,2024-06-17,2024-06-17,Centers for Disease Control and Prevention,https://www.cdc.gov,The CDC is one of the major operating components of the U.S. Department of Health and Human Services
136,2024-06-17,2024-06-17,U.S. Patent and Trademark Office,http://www.uspto.gov/,
141,2024-06-17,2024-06-17,Coinbase,https://www.coinbase.com/,
145,2024-06-17,2024-06-17,"Sahm, Claudia",https://equitablegrowth.org/people/claudia-sahm/,
146,2024-06-17,2024-06-17,"Davis, Lance E.",,
147,2024-06-17,2024-06-17,"Stettler, H. Louis",,
148,2024-06-17,2024-06-17,"Ice Data Indices, LLC",https://www.theice.com/market-data/indices,
149,2024-06-17,2024-06-17,Realtor.com,https://realtor.com,
151,2024-06-17,2024-06-17,"Lewis, Daniel J.",,
152,2024-06-17,2024-06-17,"Mertens, Karel",,
153,2024-06-17,2024-06-17,"Stock, James H.",,
154,2024-06-17,2024-06-17,"Ahir, Hites",,
155,2024-06-17,2024-06-17,"Furceri, Davide",,
156,2024-06-17,2024-06-17,"Anbil, Sriya",https://www.federalreserve.gov/econres/sriya-l-anbil.htm,
157,2024-06-17,2024-06-17,"Carlson, Mark",https://www.federalreserve.gov/econres/mark-a-carlson.htm,
158,2024-06-17,2024-06-17,"Hanes, Christopher",http://bingweb.binghamton.edu/~chanes/,
159,2024-06-17,2024-06-17,"Wheelock, David C",https://research.stlouisfed.org/econ/wheelock/sel/,
160,2024-06-17,2024-06-17,Optimal Blue,https://www2.optimalblue.com/,
161,2024-06-17,2024-06-17,Indeed,https://www.hiringlab.org/,
162,2024-06-17,2024-06-17,Center for Financial Stability,http://www.centerforfinancialstability.org/hfs.php,
163,2024-06-17,2024-06-17,"Andrew Davidson & Co., Inc.",https://www.ad-co.com/,
164,2024-06-17,2024-06-17,"Aaronson, Daniel",https://www.chicagofed.org/people/a/aaronson-daniel,
165,2024-06-17,2024-06-17,"Hartley, Daniel",https://www.chicagofed.org/people/h/hartley-daniel,
166,2024-06-17,2024-06-17,"Mazumder, Bhashkar",https://www.chicagofed.org/people/m/mazumder-bhashkar,
167,2024-06-17,2024-06-17,Zillow,https://www.zillow.com/,"As the most-visited real estate website in the United States, Zillow and its affiliates offer customers an on-demand experience for selling, buying, renting and financing with transparency and nearly seamless end-to-end service. Zillow Offers buys and sells homes directly in dozens of markets across the country, allowing sellers control over their timeline. Zillow Home Loans, our affiliate lender, provides our customers with an easy option to get pre-approved and secure financing for their next home purchase. Zillow recently launched Zillow Homes, Inc., a licensed brokerage entity, to streamline Zillow Offers transactions.

Zillow Group’s brands, affiliates and subsidiaries include Zillow, Zillow Offers, Zillow Premier Agent, Zillow Home Loans, Zillow Closing Services, Zillow Homes, Inc. Trulia, Out East, StreetEasy, HotPads, and ShowingTime."
168,2024-06-17,2024-06-17,American Financial Exchange,https://ameribor.net/,
169,2024-06-17,2024-06-17,Conference of State Bank Supervisors,https://www.csbs.org/,"CSBS supports state regulators in advancing the system of state financial supervision by ensuring safety, soundness and consumer protection; promoting economic growth; and fostering innovative, responsive supervision.

CSBS was organized in 1902 as the National Association of Supervisors of State Banks. In 1971, the name of the organization was changed to the Conference of State Bank Supervisors to better reflect the ongoing nature of CSBS activities.

For more than 110 years, CSBS has been uniquely positioned as the only national organization dedicated to protecting and advancing the nation’s dual-banking system."
202,2024-06-17,2024-06-17,Indiana University: Indiana Business Research Center,https://ibrc.kelley.iu.edu/,"Established in 1925, the Indiana Business Research Center is an integral unit in the Kelley School of Business at Indiana University.

The IBRC maintains databases on numerous topics such as income, employment, taxes, sectors of the economy, education, demographics and a host of other economic indicators for the nation, the state and local areas. In addition, the Center conducts original research to generate needed information when existing data are not available or sufficient."
235,2024-06-17,2024-06-17,"Jurado, Kyle",https://www.sydneyludvigson.com/macro-and-financial-uncertainty-indexes,
236,2024-06-17,2024-06-17,"Ludvigson, Sydney C.",https://www.sydneyludvigson.com/macro-and-financial-uncertainty-indexes,
237,2024-06-17,2024-06-17,"Ng, Serena",https://www.sydneyludvigson.com/macro-and-financial-uncertainty-indexes,
301,2024-06-17,2024-06-17,"Ma, Sai",,
367,2024-06-17,2024-06-17,Visa,https://usa.visa.com/,
